Time,pLac,pTet,LacI,TetR,pLac_LacI,pTet_TetR
0,1,1,0,0,0,0
10.296569614098185,1,1,0,10,0,0
10.369938787222198,1,0,0,8,0,1
10.909380094523835,1,0,0,7,0,1
11.578228106042337,1,1,0,9,0,0
12.05580984830149,1,0,0,7,0,1
12.906691627575812,1,1,0,9,0,0
13.072085487772217,1,1,0,8,0,0
13.204801673268138,1,1,0,7,0,0
13.669803538120856,1,0,0,5,0,1
15.334115783376276,1,1,0,7,0,0
15.704443311804328,1,0,0,5,0,1
15.91445131432924,1,1,0,7,0,0
16.056272766487194,1,0,0,5,0,1
16.159112873747862,1,1,0,7,0,0
17.43286634242236,1,0,0,5,0,1